Bairros;Valores;Informações;Descricao
"Blumenau, Velha Central
Cód.: CA0136";R$ 1.450.000,00;"3 quartos
1 suíte
3 vagas
460,0 m²";Casa no Bairro Velha Central em Blumenau com 3 Dormitórios (1 suíte) e 460 m² - CA0136
"Blumenau, Vila Nova
Cód.: SB-056";R$ 980.000,00;"3 quartos
1 suíte
2 vagas
106,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 106 m² - SB-056
"Blumenau, Garcia
Cód.: CO0200";R$ 1.199.000,00;"3 quartos
1 suíte
2 vagas
172,0 m²";Apartamento no Bairro Garcia em Blumenau com 3 Dormitórios (1 suíte) e 172 m² - CO0200
"Blumenau, Vila Nova
Cód.: SB-041";R$ 980.000,00;"3 quartos
3 suítes
3 vagas
128,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 128 m² - SB-041
"Blumenau, Vila Nova
Cód.: B-59";R$ 790.000,00;"3 quartos
3 suítes
3 vagas
111,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 111 m² - B-59
"Blumenau, Fortaleza Alta
Cód.: 1856";R$ 460.000,00;"3 quartos
1 suíte
2 vagas
130,0 m²";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) e 130 m² - 1856
"Blumenau, Itoupava Seca
Cód.: 1993";R$ 599.000,00;"3 quartos
1 suíte
2 vagas
96,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 3 Dormitórios (1 suíte) e 96 m² - 1993
"Blumenau, Fortaleza
Cód.: COBERTURA - 342";R$ 1.369.000,00;"3 quartos
1 suíte
2 vagas
280,0 m²";Apartamento no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 280 m² - COBERTURA - 342
"Blumenau, Velha
Cód.: AP0020";R$ 528.000,00;"2 quartos
1 suíte
2 vagas
70,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 70 m² - AP0020
"Blumenau, Victor Konder
Cód.: 1619";R$ 920.000,00;"3 quartos
3 suítes
3 vagas
103,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (3 suítes) e 103 m² - 1619
"Blumenau, Escola Agrícola
Cód.: 703";R$ 490.000,00;"3 quartos
2 suítes
2 vagas
123,2 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (2 suítes) e 123.19 m² - 703
"Blumenau, Itoupavazinha
Cód.: 944";R$ 480.000,00;"3 quartos
2 vagas
138,0 m²";Casa no Bairro Itoupavazinha em Blumenau com 3 Dormitórios e 138 m² - 944
"Blumenau, Escola Agrícola
Cód.: AP0214";R$ 830.000,00;"3 quartos
1 suíte
2 vagas
87,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 87 m² - AP0214
"Blumenau, Vila Nova
Cód.: 3479363";R$ 735.000,00;"2 quartos
2 suítes
3 vagas
103,6 m²";Apartamento no Bairro Vila Nova em Blumenau com 2 Dormitórios (2 suítes) e 103.64 m² - 3479363
"Blumenau, Jardim Blumenau
Cód.: B-71";R$ 880.000,00;"3 quartos
3 suítes
2 vagas
172,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 172 m² - B-71
"Blumenau, Itoupava Norte
Cód.: Prime_Park_201";R$ 385.629,15;"2 quartos
1 suíte
1 vaga
61,5 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 2 Dormitórios (1 suíte) e 61.49 m² - Prime_Park_201
"Blumenau, Itoupavazinha
Cód.: 2154";R$ 263.330,00;"2 quartos
1 suíte
1 vaga
49,0 m²";Apartamento no Bairro Itoupavazinha em Blumenau com 2 Dormitórios (1 suíte) e 49 m² - 2154
"Blumenau, Victor Konder
Cód.: CA2465";R$ 1.590.000,00;234,0 m²;Casa no Bairro Victor Konder em Blumenau com 234 m² - CA2465
"Blumenau, Itoupava Central
Cód.: 35719463";R$ 340.000,00;"2 quartos
1 suíte
1 vaga
70,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios (1 suíte) e 70 m² - 35719463
"Blumenau, Fortaleza Alta
Cód.: 4191873";R$ 420.000,00;"2 quartos
1 suíte
2 vagas";Casa no Bairro Fortaleza Alta em Blumenau com 2 Dormitórios (1 suíte) - 4191873
"Blumenau, Itoupava Seca
Cód.: AP5547";R$ 350.000,00;"1 quarto
1 suíte
1 vaga
47,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 1 Dormitórios (1 suíte) e 47 m² - AP5547
"Blumenau, Salto Norte
Cód.: 6570958";R$ 600.000,00;"3 quartos
1 suíte
2 vagas
145,0 m²";Casa no Bairro Salto Norte em Blumenau com 3 Dormitórios (1 suíte) e 145 m² - 6570958
"Blumenau, Itoupava Central
Cód.: AP2409";R$ 330.000,00;"2 quartos
1 vaga
59,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 59 m² - AP2409
"Blumenau, Vila Nova
Cód.: AP0232";R$ 1.300.000,00;"3 quartos
3 suítes
3 vagas
142,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 142 m² - AP0232
"Blumenau, Testo Salto
Cód.: 28";R$ 440.000,00;"3 quartos
1 suíte
2 vagas
169,0 m²";Casa no Bairro Testo Salto em Blumenau com 3 Dormitórios (1 suíte) e 169 m² - 28
"Blumenau, Progresso
Cód.: 2109";R$ 235.000,00;"2 quartos
1 vaga
48,0 m²";Apartamento no Bairro Progresso em Blumenau com 2 Dormitórios e 48 m² - 2109
"Blumenau, Fortaleza Alta
Cód.: 1274";R$ 450.000,00;"3 quartos
1 suíte
2 vagas
180,0 m²";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) e 180 m² - 1274
